COVID_Worry,COVID_Too_Much_Time,COVID_Lot_Time,COVID_Afraid,COVID_Irritable,COVID_Guilty,COVID_Sad,COVID_Preoccupied,COVID_Stressed
4,2,6,60.7,88.59,0,62.25,28.31,79.01
1,1,1,0,80.23,0,17.19,9.17,0
4.477303189,4.240941302,4.180100584,63.94,88.87,1.13,89.01,37.32,79.86
5.287770746,4.365592969,4.90026771,78.51,74.21,0,18.62,85.67,63.9
2.130844414,2.252087989,2.500334576,20.63,88.83,0,9.17,0,8.31
6,5,5,75.48788002,63.24551087,32.54971904,73.90836507,61.63754078,83.92076803
6,3,6,72.77819093,63.24551087,37.02975655,75.07715826,73.60415273,83.97428912
4.8703214,4.365592969,4.90026771,76.45,66.13,44.52,60.97,64.52,72.26
5.098911057,4.365592969,4.90026771,75.21,69.01,75.21,79.86,76.06,76.9
5,6,5,62.4914757,62.17047494,28.34389246,66.27447995,56.90320094,69.10171991
6,3,6,81.94,68.06,56.13,72.58,88.06,100
5,4,5,59.44,60.7,59.58,60.99,60.99,64.23
3.89402092,4.240941302,4.10188885,24.23,100,14.65,50.28,35.63,70.7
3,5,7,46.45141292,62.17047494,30.9224237,63.51162101,62.26298809,67.87024325
1.777780922,2.252087989,2.500334576,0,85.67,0,0,50.43,0
5,6,5,28.65,72.21,22.92,59.03,52.15,100
5.228083246,4.365592969,4.90026771,80.7,52.25,28.73,70.85,70.85,60.56
6,6,6,94.27,82.81,53.87,85.96,100,82.23
4.464282172,4.240941302,4.074122431,60.14,60.42,9.72,81.13,19.3,60.14
1,1,1,0,19.72,8.31,8.31,8.31,8.87
4.53883812,4.365592969,5.121998167,61.13,92.25,82.25,92.54,51.69,90.42
3.067477958,2.818220871,3.569195729,5.49,70.28,8.73,28.73,27.46,60.99
5,3,5,60.56,71.97,0,70.99,60.99,40.14
4.970173267,4.365592969,4.90026771,70.49,63.61,60.46,79.66,29.23,87.39
6.126005192,5.62842347,6.171027618,100,91.6,70.09,100,100,99.57
2.640870654,2.818220871,3.569195729,30.14,70.7,60.7,40.14,40,30.14
5,6,6,72.51671781,99.58,29.3,100,91.83,79.3
3,7,7,18.87,100,0,49.44,19.44,39.72
7,6,7,60,61.97,11.55,86.48,80.7,70.56
6,6,6,83.24,100,38.03,100,82.96,100
4,6,7,47.1,100,0,100,100,100
1,1,1,19.77,18.91,22.35,16.33,23.5,17.19
5.688104219,5.62842347,6.171027618,80.85,81.27,40.14,60.7,79.72,90.85
4.348637762,4.240941302,3.941087953,41.27,70.99,81.55,29.58,60.56,61.41
4.525859984,4.365592969,4.955090454,63.00389194,62.17047494,28.95877986,68.27323984,54.89931964,67.64313294
2,2,5,31.22314979,59.30977513,20.7773936,63.51162101,51.61168594,57.42622682
1,1,1,32.66,93.7,0,7.45,16.33,33.24
4.455631111,4.240941302,4.074122431,48.33246248,61.1306441,26.7404461,64.77850695,52.50573941,65.30428738
6,6,6,75.48788002,63.24551087,41.47236473,75.07715826,73.60415273,86.1561669
4.455631111,4.240941302,4.074122431,49.46890109,62.17047494,25.12974491,64.77850695,52.50573941,64.84065004
5.34681974,4.365592969,4.955090454,69.58,60.85,0,70.56,100,70
3,4,4,21.13,61.41,6.06,18.73,32.68,58.31
4.348637762,4.240941302,4.074122431,50.28,90.7,4.08,55.07,29.86,59.44
5,4,5,63.00389194,62.17047494,27.33898302,68.27323984,54.89931964,67.64313294
5,5,5,9.58,20,0,71.41,19.15,30.99
5,7,6,61.89,63.32,69.05,54.15,42.69,93.7
2,2,2,50.14,38.87,18.31,60.99,29.58,62.82
5.108728989,4.365592969,5.04011986,73.64,78.8,89.4,83.95,69.63,89.68
3,5,5,0.14,81.27,17.04,73.1,70.85,59.86
3,4,3,46.45141292,62.17047494,26.53700541,63.51162101,52.50573941,61.00692135
4.039262661,4.240941302,4.074122431,45.49,64.79,64.79,57.04,57.75,56.34
5,5,5,82.11,81.13,0.56,80.85,62.82,77.32
3,2,5,28.87,70.14,0,71.97,29.44,8.45
3.918042996,4.240941302,4.10188885,19.01,60.99,39.15,60.14,91.41,71.13
4.09515358,4.240941302,4.10188885,21.83,56.06,31.83,56.2,80.56,74.65
5,6,6,64.58553755,62.17047494,28.24658678,72.21587189,64.35539497,71.44599905
5,6,6,72.39,67.89,0.28,80.85,6.34,91.27
3,3,3,39.3,80.99,50.7,38.17,0,37.61
5.267630947,4.365592969,4.90026771,69.58,79.44,92.96,92.54,82.54,80
3,5,3,15.07,25.07,4.37,34.08,17.46,9.72
6,5,6,27.61,89.86,12.82,77.46,88.31,74.23
6,5,7,75.48788002,63.24551087,32.90845698,75.07715826,73.60415273,85.03354665
5,3,5,66.76,44.79,6.34,37.89,38.87,48.03
